snapshot_date,provider_id,provider_name,raw_model_name,canonical_model,model_family,tier,channel_type,unit,price_usd,source_url,captured_at,confidence,method,notes
2026-06-07,atlascloud,Atlas Cloud,openai/o3-mini,,,,aggregator,per_1m_output_tokens,4.4,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623397+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3-mini,,,,aggregator,per_1m_input_cache_read_tokens,0.55,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623402+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o4-mini,,,,aggregator,per_1m_input_tokens,1.1,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623408+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o4-mini,,,,aggregator,per_1m_output_tokens,4.4,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623413+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o4-mini,,,,aggregator,per_1m_input_cache_read_tokens,0.55,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623418+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3-pro,,,,aggregator,per_1m_input_tokens,20.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623426+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3-pro,,,,aggregator,per_1m_output_tokens,80.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623431+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3-pro,,,,aggregator,per_1m_input_cache_read_tokens,20.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623435+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-sonnet-4-20250514,,,,aggregator,per_1m_input_tokens,3.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623442+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-sonnet-4-20250514,,,,aggregator,per_1m_output_tokens,15.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623447+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-sonnet-4-20250514,,,,aggregator,per_1m_input_cache_read_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623452+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-haiku-4.5-20251001,,,,aggregator,per_1m_input_tokens,1.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623458+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-haiku-4.5-20251001,,,,aggregator,per_1m_output_tokens,5.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623465+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-haiku-4.5-20251001,,,,aggregator,per_1m_input_cache_read_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623470+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-sonnet-4.5-20250929,,,,aggregator,per_1m_input_tokens,3.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623476+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-sonnet-4.5-20250929,,,,aggregator,per_1m_output_tokens,15.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623481+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-sonnet-4.5-20250929,,,,aggregator,per_1m_input_cache_read_tokens,0.3,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623486+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-opus-4.1-20250805,,,,aggregator,per_1m_input_tokens,15.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623492+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-opus-4.1-20250805,,,,aggregator,per_1m_output_tokens,75.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623497+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-opus-4.1-20250805,,,,aggregator,per_1m_input_cache_read_tokens,1.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623501+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-opus-4-20250514,,,,aggregator,per_1m_input_tokens,15.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623507+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-opus-4-20250514,,,,aggregator,per_1m_output_tokens,75.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623512+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,anthropic/claude-opus-4-20250514,,,,aggregator,per_1m_input_cache_read_tokens,1.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623517+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/deepseek-v3.2,,,,aggregator,per_1m_input_tokens,0.26,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623525+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/deepseek-v3.2,,,,aggregator,per_1m_output_tokens,0.38,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623530+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,deepseek-ai/deepseek-v3.2,,,,aggregator,per_1m_input_cache_read_tokens,0.13,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623536+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623542+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623547+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5,,,,aggregator,per_1m_input_cache_read_tokens,0.125,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623552+00:00,high,json-api,
